dataset,origin,seed,teacher,student,r_stu,r_legacy,teacher_cal_MASE,ns_cal_MASE,g_soft,action,g_hard
ETTh1,4,123,QELM,DLinear,0.35998095033178673,0.3934175569249503,5.946813681894054,2.140739640654293,0.0,reject,0.0
ETTh1,4,123,QELM,PatchTST,0.3578154750201842,0.3934175569249503,5.946813681894054,2.1278619624434514,0.0,reject,0.0
ETTh1,4,123,QELM,N-HiTS,0.36256472303458087,0.3934175569249503,5.946813681894054,2.1561048555141737,0.0,reject,0.0
ETTh1,4,123,QELM-NISQ,DLinear,0.3490175948548865,0.3825219541277212,6.133615245226716,2.140739640654293,0.0,reject,0.0
ETTh1,4,123,QELM-NISQ,PatchTST,0.34796161574652684,0.3825219541277212,6.115220375322936,2.1278619624434514,0.0,reject,0.0
ETTh1,4,123,QELM-NISQ,N-HiTS,0.35465491729075316,0.3825219541277212,6.079444413135138,2.1561048555141737,0.0,reject,0.0
ETTh1,4,123,ClassicalELM,DLinear,0.7837672573728737,0.856567029189115,2.7313460986235687,2.140739640654293,0.7094181434321841,attenuate,0.0
ETTh1,4,123,ClassicalELM,PatchTST,0.7790524838707785,0.856567029189115,2.7313460986235687,2.1278619624434514,0.6976312096769463,attenuate,0.0
ETTh1,4,123,ClassicalELM,N-HiTS,0.7893927673979941,0.856567029189115,2.7313460986235687,2.1561048555141737,0.7234819184949853,attenuate,0.0
ETTh1,4,2024,QELM,DLinear,0.35657274272718514,0.3884903685710208,6.022236294546711,2.1473653128977213,0.0,reject,0.0
ETTh1,4,2024,QELM,PatchTST,0.36095693574110643,0.3884903685710208,6.022236294546711,2.173767959188456,0.0,reject,0.0
ETTh1,4,2024,QELM,N-HiTS,0.3627422808799455,0.3884903685710208,6.022236294546711,2.184519729481865,0.0,reject,0.0
ETTh1,4,2024,QELM-NISQ,DLinear,0.3251037030883293,0.35364561621166274,6.605170265668401,2.1473653128977213,0.0,reject,0.0
ETTh1,4,2024,QELM-NISQ,PatchTST,0.3297585003311385,0.35364561621166274,6.5919997725777835,2.173767959188456,0.0,reject,0.0
ETTh1,4,2024,QELM-NISQ,N-HiTS,0.33081669500423566,0.35364561621166274,6.60341440583552,2.184519729481865,0.0,reject,0.0
ETTh1,4,2024,ClassicalELM,DLinear,0.8955812781154342,0.975746821529862,2.39773358976017,2.1473653128977213,0.9889531952885855,attenuate,0.0
ETTh1,4,2024,ClassicalELM,PatchTST,0.9065927793111844,0.975746821529862,2.39773358976017,2.173767959188456,1.0,accept,0.0
ETTh1,4,2024,ClassicalELM,N-HiTS,0.9110769181410052,0.975746821529862,2.39773358976017,2.184519729481865,1.0,accept,0.0
