student,teacher,dataset,origin,reference,n_windows,dm_stat,dm_p,boot_lo,boot_hi,ess_ratio
DLinear,QELM-NISQ,ETTm2,2,LegacyPersist,1600,-4.662759255426785,3.37942153341729e-06,-0.41649781888211146,-0.09371149776130946,0.022012253051479073
DLinear,QELM-NISQ,ETTm2,3,NaiveKD,1600,-11.02647422464602,2.6669041943357046e-27,-1.562935172053054,-0.9759368706033567,0.028618023010100083
DLinear,QELM-NISQ,ETTm2,3,LegacyPersist,1600,-5.184954778859754,2.4360636896228433e-07,-0.3432627963605337,-0.13674803243996578,0.062319136159407706
DLinear,QELM-NISQ,ETTm2,4,NaiveKD,1600,-10.611707051661625,1.8077205829418815e-25,-1.5266451464928685,-0.905955390445423,0.029960859604968988
DLinear,QELM-NISQ,ETTm2,4,LegacyPersist,1600,-7.364553301738307,2.8333838696196254e-13,-0.4723709558011032,-0.23142951769125655,0.047462019858641596
DLinear,QELM-NISQ,Energy,0,NaiveKD,1600,-8.383053758095249,1.1156273239003684e-16,-348.811765402317,-236.65662772703178,0.06197727492893419
DLinear,QELM-NISQ,Energy,0,LegacyPersist,1600,-8.592275833662494,1.9933459492269268e-17,-353.5097494940758,-241.21911751031877,0.061942369302112804
DLinear,QELM-NISQ,Energy,1,NaiveKD,1600,-3.6207415361617774,0.0003029218566094884,-422.63117975902554,-52.458767728805554,0.013099248257500404
DLinear,QELM-NISQ,Energy,1,LegacyPersist,1600,-3.6332038098493706,0.00028876869729047786,-423.7897098135948,-53.42726889276506,0.013147389046405306
DLinear,QELM-NISQ,Energy,2,NaiveKD,1600,-0.4000681998192008,0.6891597235167755,-32.22827322530747,45.63197914266583,0.08073589111927197
DLinear,QELM-NISQ,Energy,2,LegacyPersist,1600,0.25399795209380377,0.7995297966535465,-9.163857702732086,54.77400419902801,0.0837614239349007
DLinear,QELM-NISQ,Energy,3,NaiveKD,1600,-5.432117455133446,6.428264905326046e-08,-309.5173048143387,-127.99419873046884,0.05937165068720875
DLinear,QELM-NISQ,Energy,3,LegacyPersist,1600,-4.741628009219619,2.308544765697193e-06,-229.22866901922225,-86.61117297601704,0.06483860766850623
DLinear,QELM-NISQ,Energy,4,NaiveKD,1600,-5.081825629254589,4.1773268091795624e-07,-543.9841235866546,-185.6196721353531,0.0284673749365969
DLinear,QELM-NISQ,Energy,4,LegacyPersist,1600,-4.915726234807463,9.753868265465701e-07,-516.4838860197067,-168.38450878953938,0.028738052951691375
DLinear,QELM-NISQ,ExchangeRate,0,NaiveKD,607,-3.3540978664993917,0.0008459326633851798,-0.001400086201545767,-0.00010224677704499514,0.0669971443464247
DLinear,QELM-NISQ,ExchangeRate,0,LegacyPersist,607,-2.1377305731351908,0.03293807998865867,-0.00043043037180775774,6.282991642221389e-05,0.06893377152866702
DLinear,QELM-NISQ,ExchangeRate,1,NaiveKD,607,-7.355715117364762,6.197198718752449e-13,-0.00550783945401345,-0.002799238895274748,0.031946985740713835
DLinear,QELM-NISQ,ExchangeRate,1,LegacyPersist,607,-4.940589073453492,1.0089555608663435e-06,-0.0009638154781496389,-0.00041965925899185435,0.06895533337293722
DLinear,QELM-NISQ,ExchangeRate,2,NaiveKD,607,-4.286350808402989,2.1127000270234315e-05,-0.0071701411418102785,-0.003650907107927689,0.031150356796056298
DLinear,QELM-NISQ,ExchangeRate,2,LegacyPersist,607,1.4652122932551659,0.14338162362256618,-8.219510782510042e-05,0.00025545643103428643,0.08876233337778894
DLinear,QELM-NISQ,ExchangeRate,3,NaiveKD,607,-3.493354526982488,0.0005117579798454583,-0.002761336852726565,-0.00028039314949526793,0.026377444688191583
DLinear,QELM-NISQ,ExchangeRate,3,LegacyPersist,607,-1.6694388410301901,0.09554689412191701,-0.0002864792510135256,4.1554762186486955e-05,0.07611128237272768
DLinear,QELM-NISQ,ExchangeRate,4,NaiveKD,607,-0.8719632188113542,0.3835737732161474,-0.0004705170204138377,0.000179564132582614,0.062348245162719966
