dataset,origin,seed,model,gate,action,cal_MASE,persistence_MASE,diverged,MAE,RMSE,MSE,MASE,Bias,WAPE,teacher,student,policy,picked,MASE_NS,regret,rel_regret
ETTh1,0,123,PatchTST_LegacyPersist[ClassicalELM],1.0,,2.098338048442957,2.4577925311980358,False,1.5578915488351956,2.036614461961866,4.147798466672221,2.1145285653856614,0.3702946972635894,14.18390867920343,ClassicalELM,PatchTST,LegacyPersist,,2.0832735528804984,0.03125501250516294,0.015002836503130994
ETTh1,0,123,N-HiTS_NaiveKD[ClassicalELM],1.0,,2.0827689271416503,2.4577925311980358,False,1.5551442769361643,2.0495609975249214,4.20070028257535,2.110799689064504,0.3709723658469283,14.158895992176571,ClassicalELM,N-HiTS,NaiveKD,,2.1322629851671744,-0.02146329610267017,-0.01006597040420293
ETTh1,0,123,N-HiTS_SoftSR[ClassicalELM],1.0,accept,2.0827697497793034,2.4577925311980358,False,1.5551430160390558,2.049562355165918,4.200705847713265,2.110797977646943,0.3709728756028518,14.158884512269992,ClassicalELM,N-HiTS,SoftSR,,2.1322629851671744,-0.021465007520231172,-0.01006677303388459
ETTh1,0,123,N-HiTS_HardRejectSR[ClassicalELM],0.0,,2.081038782658676,2.4577925311980358,False,1.570957488521887,2.0747108351506456,4.304425049491489,2.1322629851671744,0.4418954371150871,14.302868240581484,ClassicalELM,N-HiTS,HardRejectSR,,2.1322629851671744,0.0,0.0
ETTh1,0,123,N-HiTS_LegacyPersist[ClassicalELM],1.0,,2.1129584297888115,2.4577925311980358,False,1.544545454053566,2.03118655159062,4.125718807362592,2.096413890668284,0.3306351791702694,14.062398430464896,ClassicalELM,N-HiTS,LegacyPersist,,2.1322629851671744,-0.03584909449889029,-0.016812698409281648
ETTh1,0,2024,DLinear_NaiveKD[QELM],1.0,,2.096712857508366,2.4577925311980358,False,1.5910280387519675,2.0979219107960145,4.401276343798001,2.1595047734779493,0.6735016962191966,14.485601661157313,QELM,DLinear,NaiveKD,,2.0615109356464614,0.09799383783148796,0.047534959013330894
ETTh1,0,2024,DLinear_SoftSR[QELM],0.0,reject,2.0097914214926083,2.4577925311980358,False,1.5188304934954635,2.0254437381459973,4.102422336394832,2.0615109356464614,0.3322196966097326,13.828275167829476,QELM,DLinear,SoftSR,,2.0615109356464614,0.0,0.0
ETTh1,0,2024,DLinear_HardRejectSR[QELM],0.0,,2.0097914214926083,2.4577925311980358,False,1.5188304934954635,2.0254437381459973,4.102422336394832,2.0615109356464614,0.3322196966097326,13.828275167829476,QELM,DLinear,HardRejectSR,,2.0615109356464614,0.0,0.0
ETTh1,0,2024,DLinear_LegacyPersist[QELM],0.534461652929576,,2.0459733175926766,2.4577925311980358,False,1.5445529780738174,2.0513037634160614,4.207847129804896,2.096424103032399,0.5361251390616442,14.062466933318142,QELM,DLinear,LegacyPersist,,2.0615109356464614,0.03491316738593753,0.01693571777002931
ETTh1,0,2024,PatchTST_NaiveKD[QELM],1.0,,2.1971312248202324,2.4577925311980358,False,1.6329282496243067,2.110038688825788,4.45226326834165,2.2163759933337137,0.3680068465276436,14.867084419117562,QELM,PatchTST,NaiveKD,,2.0798226049712,0.13655338836251385,0.06565626704706615
ETTh1,0,2024,PatchTST_SoftSR[QELM],0.0,reject,2.1043221376520505,2.4577925311980358,False,1.532321725230549,2.0165433628171714,4.066447134121986,2.0798226049712,0.2781179878066447,13.951106823886338,QELM,PatchTST,SoftSR,,2.0798226049712,0.0,0.0
ETTh1,0,2024,PatchTST_HardRejectSR[QELM],0.0,,2.1043221376520505,2.4577925311980358,False,1.532321725230549,2.0165433628171714,4.066447134121986,2.0798226049712,0.2781179878066447,13.951106823886338,QELM,PatchTST,HardRejectSR,,2.0798226049712,0.0,0.0
ETTh1,0,2024,PatchTST_LegacyPersist[QELM],0.534461652929576,,2.147447743499372,2.4577925311980358,False,1.5685935995173128,2.0328670418674157,4.132548409910776,2.129054475030952,0.1427927443387263,14.281346084052856,QELM,PatchTST,LegacyPersist,,2.0798226049712,0.04923187005975205,0.02367118712051588
ETTh1,0,2024,N-HiTS_NaiveKD[QELM],1.0,,2.2049817572798487,2.4577925311980358,False,1.6616810362827952,2.136249621468387,4.563562445223826,2.2554021943354914,0.4058890858173484,15.128865735372566,QELM,N-HiTS,NaiveKD,,2.1511851750038327,0.10421701933165872,0.04844632649138308
ETTh1,0,2024,N-HiTS_SoftSR[QELM],0.0,reject,2.113007331959355,2.4577925311980358,False,1.5848985248902507,2.085789099862918,4.350516169106961,2.1511851750038327,0.4029677054847248,14.429795167484812,QELM,N-HiTS,SoftSR,,2.1511851750038327,0.0,0.0
