dataset,origin,seed,model,teacher,student,policy,picked,MASE,MAE,RMSE,cal_MASE,persistence_MASE,diverged
AAPL,1,42,PatchTST_HardRejectPersist[ClassicalELM],ClassicalELM,PatchTST,HardRejectPersist,PatchTST_NaiveKD[ClassicalELM],0.9120480119626024,0.026852557670756,0.0357749888620979,1.1771072665922844,1.3080004344449487,False
AAPL,1,42,PatchTST_Oracle[ClassicalELM],ClassicalELM,PatchTST,Oracle,PatchTST_NaiveKD[ClassicalELM],0.9120480119626024,0.026852557670756,0.0357749888620979,1.1771072665922844,1.3080004344449487,False
AAPL,1,42,N-HiTS_ValSelect[ClassicalELM],ClassicalELM,N-HiTS,ValSelect,N-HiTS_NaiveKD[ClassicalELM],0.9039273373634624,0.0266134684121439,0.0355511952467167,1.174965110661351,1.3080004344449487,False
AAPL,1,42,N-HiTS_HardRejectPersist[ClassicalELM],ClassicalELM,N-HiTS,HardRejectPersist,N-HiTS_NaiveKD[ClassicalELM],0.9039273373634624,0.0266134684121439,0.0355511952467167,1.174965110661351,1.3080004344449487,False
AAPL,1,42,N-HiTS_Oracle[ClassicalELM],ClassicalELM,N-HiTS,Oracle,N-HiTS_NaiveKD[ClassicalELM],0.9039273373634624,0.0266134684121439,0.0355511952467167,1.174965110661351,1.3080004344449487,False
AAPL,1,123,DLinear_ValSelect[QELM],QELM,DLinear,ValSelect,DLinear_NaiveKD[QELM],0.9215735167591612,0.0271330080018107,0.0363046192778934,1.1842708844618255,1.3080004344449487,False
AAPL,1,123,DLinear_HardRejectPersist[QELM],QELM,DLinear,HardRejectPersist,DLinear_NaiveKD[QELM],0.9215735167591612,0.0271330080018107,0.0363046192778934,1.1842708844618255,1.3080004344449487,False
AAPL,1,123,DLinear_Oracle[QELM],QELM,DLinear,Oracle,DLinear_NaiveKD[QELM],0.9215735167591612,0.0271330080018107,0.0363046192778934,1.1842708844618255,1.3080004344449487,False
AAPL,1,123,PatchTST_ValSelect[QELM],QELM,PatchTST,ValSelect,PatchTST_NaiveKD[QELM],0.9087302405605808,0.026754875699256,0.035707008123278,1.1769257061489984,1.3080004344449487,False
AAPL,1,123,PatchTST_HardRejectPersist[QELM],QELM,PatchTST,HardRejectPersist,PatchTST_NaiveKD[QELM],0.9087302405605808,0.026754875699256,0.035707008123278,1.1769257061489984,1.3080004344449487,False
AAPL,1,123,PatchTST_Oracle[QELM],QELM,PatchTST,Oracle,PatchTST_NaiveKD[QELM],0.9087302405605808,0.026754875699256,0.035707008123278,1.1769257061489984,1.3080004344449487,False
