dataset,origin,student,teacher,policy,MASE,MASE_NS,regret,rel_regret
AAPL,2,PatchTST,QELM,HardRejectPersist,0.5614346318194641,0.5644450698022895,-0.003010437982825409,-0.005331484666797385
AAPL,2,PatchTST,QELM,HardRejectSR,0.5614339137217194,0.5644450698022895,-0.003011156080570158,-0.005332753724644877
AAPL,2,PatchTST,QELM,LegacyPersist,0.5614339137217194,0.5644450698022895,-0.003011156080570158,-0.005332753724644877
AAPL,2,PatchTST,QELM,NaiveKD,0.5614346318194641,0.5644450698022895,-0.003010437982825409,-0.005331484666797385
AAPL,2,PatchTST,QELM,Oracle,0.5614346318194641,0.5644450698022895,-0.003010437982825409,-0.005331484666797385
AAPL,2,PatchTST,QELM,SoftSR,0.5614339137217194,0.5644450698022895,-0.003011156080570158,-0.005332753724644877
AAPL,2,PatchTST,QELM,ValSelect,0.5614346318194641,0.5644450698022895,-0.003010437982825409,-0.005331484666797385
AAPL,2,PatchTST,QELM-NISQ,HardRejectPersist,0.5614030950762516,0.5644450698022895,-0.003041974726037844,-0.00538729562687986
AAPL,2,PatchTST,QELM-NISQ,HardRejectSR,0.5613995064024383,0.5644450698022895,-0.003045563399851218,-0.005393675069685179
AAPL,2,PatchTST,QELM-NISQ,LegacyPersist,0.561365849548822,0.5644450698022895,-0.003079220253467444,-0.005453305093083528
AAPL,2,PatchTST,QELM-NISQ,NaiveKD,0.5614030950762516,0.5644450698022895,-0.003041974726037844,-0.00538729562687986
AAPL,2,PatchTST,QELM-NISQ,Oracle,0.5614030950762516,0.5644450698022895,-0.003041974726037844,-0.00538729562687986
AAPL,2,PatchTST,QELM-NISQ,SoftSR,0.5614189589563613,0.5644450698022895,-0.003026110845928187,-0.005359204955242062
AAPL,2,PatchTST,QELM-NISQ,ValSelect,0.5614030950762516,0.5644450698022895,-0.003041974726037844,-0.00538729562687986
AAPL,3,DLinear,ClassicalELM,HardRejectPersist,0.62290180938439,0.6283203090691554,-0.005418499684765377,-0.00862327481940138
AAPL,3,DLinear,ClassicalELM,HardRejectSR,0.62290180938439,0.6283203090691554,-0.005418499684765377,-0.00862327481940138
AAPL,3,DLinear,ClassicalELM,LegacyPersist,0.62290180938439,0.6283203090691554,-0.005418499684765377,-0.00862327481940138
AAPL,3,DLinear,ClassicalELM,NaiveKD,0.62290180938439,0.6283203090691554,-0.005418499684765377,-0.00862327481940138
AAPL,3,DLinear,ClassicalELM,Oracle,0.62290180938439,0.6283203090691554,-0.005418499684765377,-0.00862327481940138
